Bank Name,City,State,CERT #,Closing Date,Updated Date
Desert Hills Bank,Phoenix,AZ,57060,26-Mar-10,26-Mar-10
Unity National Bank,Cartersville,GA,34678,26-Mar-10,26-Mar-10
Key West Bank,Key West,FL,34684,26-Mar-10,26-Mar-10
McIntosh Commercial Bank,Carrollton,GA,57399,26-Mar-10,26-Mar-10
State Bank of Aurora,Aurora,MN,8221,19-Mar-10,23-Mar-10
First Lowndes Bank,Fort Deposit,AL,24957,19-Mar-10,23-Mar-10
Bank of Hiawassee,Hiawassee,GA,10054,19-Mar-10,23-Mar-10
Appalachian Community Bank,Ellijay,GA,33989,19-Mar-10,23-Mar-10
Advanta Bank Corp.,Draper,UT,33535,19-Mar-10,23-Mar-10
Century Security Bank,Duluth,GA,58104,19-Mar-10,23-Mar-10
American National Bank,Parma,OH,18806,19-Mar-10,23-Mar-10
Statewide Bank,Covington,LA,29561,12-Mar-10,17-Mar-10
Old Southern Bank,Orlando,FL,58182,12-Mar-10,17-Mar-10
The Park Avenue Bank,New York,NY,27096,12-Mar-10,17-Mar-10
LibertyPointe Bank,New York,NY,58071,11-Mar-10,17-Mar-10
Centennial Bank,Ogden,UT,34430,5-Mar-10,9-Mar-10
Waterfield Bank,Germantown,MD,34976,5-Mar-10,10-Mar-10
Bank of Illinois,Normal,IL,9268,5-Mar-10,10-Mar-10
Sun American Bank,Boca Raton,FL,27126,5-Mar-10,10-Mar-10
Rainier Pacific Bank,Tacoma,WA,38129,26-Feb-10,2-Mar-10
Carson River Community Bank,Carson City,NV,58352,26-Feb-10,2-Mar-10
"La Jolla Bank, FSB",La Jolla,CA,32423,19-Feb-10,24-Feb-10
George Washington Savings Bank,Orland Park,IL,29952,19-Feb-10,24-Feb-10
The La Coste National Bank,La Coste,TX,3287,19-Feb-10,24-Feb-10
Marco Community Bank,Marco Island,FL,57586,19-Feb-10,24-Feb-10
1st American State Bank of Minnesota,Hancock,MN,15448,5-Feb-10,12-Feb-10
American Marine Bank,Bainbridge Island,WA,16730,29-Jan-10,3-Feb-10
First Regional Bank,Los Angeles,CA,23011,29-Jan-10,3-Feb-10
Community Bank and Trust,Cornelia,GA,5702,29-Jan-10,3-Feb-10
"Marshall Bank, N.A.",Hallock,MN,16133,29-Jan-10,3-Feb-10
Florida Community Bank,Immokalee,FL,5672,29-Jan-10,3-Feb-10
First National Bank of Georgia,Carrollton,GA,16480,29-Jan-10,3-Feb-10
Columbia River Bank,The Dalles,OR,22469,22-Jan-10,2-Feb-10
Evergreen Bank,Seattle,WA,20501,22-Jan-10,2-Feb-10
Charter Bank,Santa Fe,NM,32498,22-Jan-10,2-Feb-10
Bank of Leeton,Leeton,MO,8265,22-Jan-10,2-Feb-10
Premier American Bank,Miami,FL,57147,22-Jan-10,2-Feb-10
Barnes Banking Company,Kaysville,UT,1252,15-Jan-10,3-Feb-10
St. Stephen State Bank,St. Stephen,MN,17522,15-Jan-10,26-Jan-10
Town Community Bank & Trust,Antioch,IL,34705,15-Jan-10,26-Jan-10
Horizon Bank,Bellingham,WA,22977,8-Jan-10,12-Jan-10
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,18-Dec-09,23-Dec-09
Imperial Capital Bank,La Jolla,CA,26348,18-Dec-09,23-Dec-09
Independent Bankers' Bank,Springfield,IL,26820,18-Dec-09,14-Jan-10
New South Federal Savings Bank,Irondale,AL,32276,18-Dec-09,23-Dec-09
Citizens State Bank,New Baltimore,MI,1006,18-Dec-09,8-Jan-10
Peoples First Community Bank,Panama City,FL,32167,18-Dec-09,23-Dec-09
RockBridge Commercial Bank,Atlanta,GA,58315,18-Dec-09,22-Dec-09
SolutionsBank,Overland Park,KS,4731,11-Dec-09,15-Dec-09
"Valley Capital Bank, N.A.",Mesa,AZ,58399,11-Dec-09,15-Dec-09
"Republic Federal Bank, N.A.",Miami,FL,22846,11-Dec-09,15-Dec-09
Greater Atlantic Bank,Reston,VA,32583,4-Dec-09,15-Dec-09
Benchmark Bank,Aurora,IL,10440,4-Dec-09,8-Dec-09
AmTrust Bank,Cleveland,OH,29776,4-Dec-09,8-Dec-09
The Tattnall Bank,Reidsville,GA,12080,4-Dec-09,15-Dec-09
First Security National Bank,Norcross,GA,26290,4-Dec-09,8-Dec-09
The Buckhead Community Bank,Atlanta,GA,34663,4-Dec-09,15-Dec-09
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,20-Nov-09,15-Dec-09
Pacific Coast National Bank,San Clemente,CA,57914,13-Nov-09,18-Nov-09
Orion Bank,Naples,FL,22427,13-Nov-09,15-Dec-09
"Century Bank, F.S.B.",Sarasota,FL,32267,13-Nov-09,15-Dec-09
United Commercial Bank,San Francisco,CA,32469,6-Nov-09,9-Nov-09
Gateway Bank of St. Louis,St. Louis,MO,19450,6-Nov-09,9-Nov-09
Prosperan Bank,Oakdale,MN,35074,6-Nov-09,9-Nov-09
Home Federal Savings Bank,Detroit,MI,30329,6-Nov-09,15-Dec-09
United Security Bank,Sparta,GA,22286,6-Nov-09,15-Dec-09
North Houston Bank,Houston,TX,18776,30-Oct-09,3-Nov-09
Madisonville State Bank,Madisonville,TX,33782,30-Oct-09,3-Nov-09
Citizens National Bank,Teague,TX,25222,30-Oct-09,3-Nov-09
Park National Bank,Chicago,IL,11677,30-Oct-09,3-Nov-09
Pacific National Bank,San Francisco,CA,30006,30-Oct-09,3-Nov-09
California National Bank,Los Angeles,CA,34659,30-Oct-09,3-Nov-09
San Diego National Bank,San Diego,CA,23594,30-Oct-09,3-Nov-09
Community Bank of Lemont,Lemont,IL,35291,30-Oct-09,3-Nov-09
"Bank USA, N.A.",Phoenix,AZ,32218,30-Oct-09,3-Nov-09
First DuPage Bank,Westmont,IL,35038,23-Oct-09,3-Nov-09
Riverview Community Bank,Otsego,MN,57525,23-Oct-09,3-Nov-09
Bank of Elmwood,Racine,WI,18321,23-Oct-09,3-Nov-09
Flagship National Bank,Bradenton,FL,35044,23-Oct-09,29-Oct-09
Hillcrest Bank Florida,Naples,FL,58336,23-Oct-09,28-Oct-09
American United Bank,Lawrenceville,GA,57794,23-Oct-09,28-Oct-09
Partners Bank,Naples,FL,57959,23-Oct-09,28-Oct-09
San Joaquin Bank,Bakersfield,CA,23266,16-Oct-09,21-Oct-09
Southern Colorado National Bank,Pueblo,CO,57263,2-Oct-09,20-Oct-09
Jennings State Bank,Spring Grove,MN,11416,2-Oct-09,20-Oct-09
Warren Bank,Warren,MI,34824,2-Oct-09,20-Oct-09
Georgian Bank,Atlanta,GA,57151,25-Sep-09,13-Oct-09
"Irwin Union Bank, F.S.B.",Louisville,KY,57068,18-Sep-09,22-Sep-09
Irwin Union Bank and Trust Company,Columbus,IN,10100,18-Sep-09,22-Sep-09
Venture Bank,Lacey,WA,22868,11-Sep-09,23-Nov-09
Brickwell Community Bank,Woodbury,MN,57736,11-Sep-09,23-Nov-09
"Corus Bank, N.A.",Chicago,IL,13693,11-Sep-09,23-Nov-09
First State Bank,Flagstaff,AZ,34875,4-Sep-09,23-Nov-09
Platinum Community Bank,Rolling Meadows,IL,35030,4-Sep-09,23-Nov-09
Vantus Bank,Sioux City,IA,27732,4-Sep-09,23-Nov-09
InBank,Oak Forest,IL,20203,4-Sep-09,23-Nov-09
First Bank of Kansas City,Kansas City,MO,25231,4-Sep-09,23-Nov-09
Affinity Bank,Ventura,CA,27197,28-Aug-09,23-Nov-09
Mainstreet Bank,Forest Lake,MN,1909,28-Aug-09,23-Nov-09
Bradford Bank,Baltimore,MD,28312,28-Aug-09,23-Nov-09
Guaranty Bank,Austin,TX,32618,21-Aug-09,3-Feb-10
CapitalSouth Bank,Birmingham,AL,22130,21-Aug-09,23-Nov-09
First Coweta Bank,Newnan,GA,57702,21-Aug-09,23-Nov-09
ebank,Atlanta,GA,34682,21-Aug-09,23-Nov-09
Community Bank of Nevada,Las Vegas,NV,34043,14-Aug-09,23-Nov-09
Community Bank of Arizona,Phoenix,AZ,57645,14-Aug-09,23-Nov-09
"Union Bank, National Association",Gilbert,AZ,34485,14-Aug-09,23-Nov-09
Colonial Bank,Montgomery,AL,9609,14-Aug-09,23-Nov-09
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,14-Aug-09,23-Nov-09
